City,Latitude,Longitude
Oakland,37.80467596,-122.2683662
San Leandro,37.71595596,-122.1182372
Hayward,37.65848196,-122.0983472
Union City,37.60376496,-122.0249931
Fremont,37.56180196,-121.9655031
Alameda,37.78146395,-122.2806942
Albany,37.89630396,-122.2918472
Berkeley,37.86845496,-122.2715622
Castro Valley,37.71331896,-122.0925052
Emeryville,37.83582396,-122.2821892
Livermore,37.67861702,-121.766634
Byron,37.78729001,-121.5777721
Newark,37.52080495,-122.0019131
Piedmont,37.82287096,-122.2337622
San Lorenzo,37.67446995,-122.1504672
Dublin,37.71870698,-121.8625551
Pleasanton,37.67320497,-121.9192131
Sunol,37.59389397,-121.8850481
Markleeville,38.76632622,-119.8088229
Bear Valley,38.46831918,-120.0387039
Sutter Creek,38.37758811,-120.808831
Jackson,38.35298311,-120.778305
Ione,38.3494051,-120.9308131
Pioneer,38.43240514,-120.570913
Plymouth,38.47960291,-120.8524129
Chico,39.70594515,-121.7891364
Oroville,39.50537915,-121.5534563
Bangor,39.39089415,-121.4079483
Biggs,39.41610413,-121.7060733
Richvale,39.49516513,-121.7490973
Forest Ranch,39.88467917,-121.6669304
Durham,39.64801514,-121.8039344
Gridley,39.33476813,-121.6585683
Palermo,39.43665015,-121.5467913
Paradise,39.76021599,-121.621175
Magalia,39.81287217,-121.6005194
Berry Creek,39.62534002,-121.375947
San Andreas,38.18898511,-120.691963
Angels Camp,38.08090211,-120.555237
Altaville,38.08003111,-120.552301
Mokelumne Hill,38.29910512,-120.698013
Valley Springs,38.1907051,-120.832913
West Point,38.39810514,-120.526113
Copperopolis,37.98219209,-120.641257
Arnold,38.26403914,-120.342712
Murphys,38.13309912,-120.454375
Avery,38.20351313,-120.364854
Williams,39.16037808,-122.1367963
Colusa,39.20021309,-122.0195273
Maxwell,39.28017508,-122.1932374
Arbuckle,39.01000507,-122.0555133
Grimes,39.06950509,-121.8968133
Alamo,37.85936398,-122.0199272
Antioch,38.002496,-121.8509342
Richmond,37.98853397,-122.3326042
Martinez,37.98823299,-122.0880592
San Pablo,37.99399997,-122.3204672
El Cerrito,37.92596597,-122.3133812
Walnut Creek,37.93036699,-122.0245532
Pittsburg,38.003837,-121.8743272
Concord,37.94970799,-121.9690592
Lafayette,37.90413698,-122.0975892
Moraga,37.86745697,-122.1264102
Orinda,37.84105097,-122.1456092
Oakley,38.00020501,-121.7405131
Brentwood,37.95500501,-121.7359131
Lodi,38.12854806,-121.3087471
Discovery Bay,37.90741401,-121.6191851
Canyon,37.82771297,-122.1634312
Crockett,38.05282998,-122.2217152
Rodeo,38.03115698,-122.2697572
Knightsen,37.96853002,-121.6600951
Pleasant Hill,37.93725798,-122.0666032
Bay Point,38.02039,-121.9379782
Clayton,37.94158599,-121.9395632
Pinole,37.99704897,-122.3036252
Hercules,37.99896397,-122.2515752
Kensington,37.91430297,-122.2787822
El Sobrante,37.97555797,-122.2916152
San Ramon,37.76440498,-121.8930131
Danville,37.79260499,-121.8816131
Crescent City,41.76779209,-124.20778
Klamath,41.55610509,-124.052814
Gasquet,41.84660512,-123.962614
Smith River,41.9273051,-124.152314
South Lake Tahoe,38.93514923,-119.972182
El Dorado,38.68081514,-120.8347011
El Dorado Hills,38.61752012,-121.0548611
Placerville,38.72166114,-120.8670671
Shingle Springs,38.66962513,-120.9112631
Cameron Park,38.65795412,-121.0046251
Camino,38.73287516,-120.6765821
Diamond Springs,38.69370514,-120.8219131
Somerset,38.58116215,-120.577542
Pollock Pines,38.76585716,-120.5884381
Rescue,38.69680513,-121.0228131
Kyburz,38.77279419,-120.311395
Georgetown,38.91229116,-120.8279581
Garden Valley,38.84966515,-120.8562971
Cool,38.87276114,-121.0220841
Fresno,36.78047604,-119.7884937
Hume,36.7873521,-118.9177246
Clovis,36.80723605,-119.7081797
Caruthers,36.55411902,-119.7961237
Big Creek,37.20391712,-119.2489757
Riverdale,36.492282,-119.9890987
Kingsburg,36.55464804,-119.5043986
Pinedale,36.84175505,-119.8166837
Coalinga,36.14580494,-120.3604127
Huron,36.20940497,-120.0987127
Fowler,36.63286404,-119.6677877
Orange Cove,36.62970506,-119.3087126
Reedley,36.60930505,-119.4478126
Dunlap,36.73555408,-119.1157596
Dinuba,36.58870505,-119.3766126
Parlier,36.60900505,-119.4834126
Laton,36.43440302,-119.6853876
Simi Valley,34.27588885,-118.7980103
Auberry,37.0612731,-119.3690137
